1	8	20.166235
512	8	21.885510
1024	8	24.248889
4096	8	22.231028
8192	8	20.358546
1	9	21.693581
512	9	21.036919
1024	9	20.284165
4096	9	21.389027
8192	9	22.108781
1	10	27.556912
512	10	24.005835
1024	10	22.278194
4096	10	27.268407
8192	10	20.751752
1	11	21.507119
512	11	21.476503
1024	11	21.616098
4096	11	22.168619
8192	11	22.337675
1	12	23.239557
512	12	34.705701
1024	12	21.583440
4096	12	21.652846
8192	12	21.932014
1	13	19.901073
512	13	23.275301
1024	13	20.663809
4096	13	20.043145
8192	13	20.652770
1	14	21.653481
512	14	25.173590
1024	14	23.369807
4096	14	22.301116
8192	14	21.165906
1	15	23.093069
512	15	32.862568
1024	15	32.914794
4096	15	26.147641
8192	15	22.444012
1	16	50.704650
512	16	38.130387
1024	16	34.632123
4096	16	35.873369
8192	16	25.703370
1	17	22.138937
512	17	38.782812
1024	17	38.910238
4096	17	36.176046
8192	17	25.868472
1	18	23.149960
512	18	39.402023
1024	18	35.320070
4096	18	35.661052
8192	18	33.729571
1	19	21.439388
512	19	73.907977
1024	19	50.417838
4096	19	40.383729
8192	19	65.706268
1	20	22.719170
512	20	99.344125
1024	20	74.751585
4096	20	48.467579
8192	20	38.208993
1	21	22.606105
512	21	101.171937
1024	21	97.176291
4096	21	45.544951
8192	21	49.866185
1	22	19.771620
512	22	98.133039
1024	22	100.783330
4096	22	64.232519
8192	22	69.706630
1	23	19.043689
512	23	97.569375
1024	23	97.532912
4096	23	86.128079
8192	23	65.705361
1	24	19.939393
512	24	101.011881
1024	24	100.669941
4096	24	102.486384
8192	24	91.686650
